sigma_field,ecs_field,ecs_documentation_link,notes
Message,message,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Official ECS core field
Action,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Standard event action field
action,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Standard event action field
AccountName,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Standard user identification
Address,source.address | destination.address | client.address,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,Medium confidence - Depends on context (source/dest/client)
AllowedToDelegateTo,winlog.event_data.AllowedToDelegateTo,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows Kerberos delegation
answer,dns.answers.name,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS answer field
answers,dns.answers,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS answers array
apiGroup,orchestrator.api_version,https://www.elastic.co/guide/en/ecs/current/ecs-orchestrator.html,Medium confidence - Kubernetes API group
Application,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Application/process name
AppName,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Application name maps to process
AppID,process.entity_id,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Process unique identifier
AppId,process.entity_id,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Process unique identifier
ApplicationId,process.entity_id,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Application/process ID
ApplicationPath,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Full path to executable
AttributeLDAPDisplayName,winlog.event_data.AttributeLDAPDisplayName,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows LDAP attribute
AttributeValue,winlog.event_data.AttributeValue,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows attribute value
AuditPolicyChanges,winlog.event_data.AuditPolicyChanges,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows audit policy
AuditSourceName,winlog.event_data.AuditSourceName,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows audit source
auditType.action,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Audit action type
auditType.category,event.category,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Audit category
AuthenticationPackageName,winlog.event_data.AuthenticationPackageName,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows authentication package
AuthenticationRequirement,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Contextual authentication info
Binary,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Binary file path
blocked,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Maps to success/failure/unknown
CallTrace,process.thread.call_trace,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Thread call trace
capabilities,container.security_context.privileged,https://www.elastic.co/guide/en/ecs/current/ecs-container.html,Medium confidence - Container capabilities
Caption,host.os.full,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,Medium confidence - OS caption/description
Category,event.category,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - ECS event category
category,event.category,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - ECS event category
CategoryValue,event.category,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - ECS event category value
